machine_id,machine_name,category,maker_name,series_name,market_date,used_price,used_price_change_rate,installed_halls,installed_units,installed_units_change_rate,market_memo
P_a1f7731212,CR黄門ちゃま～神盛JUDGEMENT～ 99.9ver.,P,平和,,,,,,,,
P_caf9768797,CR黄門ちゃま～神盛JUDGEMENT～ L9BZ6,P,平和,,,,,,,,
P_e60674482b,Cの衝撃!!P弾球黙示録カイジ5 電撃チャージ和也Ver.,P,高尾,,,,,,,,
P_e2cc05d801,L エヴァンゲリオン ～未来への創造～,P,ビスティ,エヴァンゲリオン,,,,,,,
P_79c10ad3aa,L 新・必殺仕置人 回胴 CRASH SPEC,P,京楽産業．,,,,,,,,
P_48060be54d,Lucky 海物語,P,三洋,海物語,,,,,,,
P_427041a260,Lゴジラ対エヴァンゲリオン,P,ビスティ,エヴァンゲリオン,,,,,,,
P_afd4514368,Lスマスロ真・北斗無双(2024年),P,サミー,北斗の拳,,,,,,,
P_5f60f09a0b,Lパチスロ シン・エヴァンゲリオン,P,ビスティ,エヴァンゲリオン,,,,,,,
P_e36a87a566,Lルパン三世 大航海者の秘宝,P,平和,ルパン三世,,,,,,,
P_e95b11e381,L少女☆歌劇 レヴュースタァライト -The SLOT-,P,オーイズミ,,,,,,,,
P_6a61814c43,L銀河英雄伝説 Die Neue These,P,コナミ,,,,,,,,
P_0112233cf5,P 009 RE:CYBORG ACCELERATOR EDITION 99ver.,P,ニューギン,,,,,,,,
P_8b3c3d8957,P 009 RE:CYBORG ACCELERATOR EDITION M4-K,P,ニューギン,,,,,,,,
P_5944fa2ee1,P 10カウントチャージ 絶狼,P,サンセイR&D,,,,,,,,
P_940cabda08,P <物語>シリーズ セカンドシーズン GEE,P,サミー,,,,,,,,
P_a9c820adb8,P ANOTHER WILD RODEO～スギちゃんっス～ ST2,P,豊丸,,,,,,,,
P_b09f956dbc,P CYBORG009 RULE OF SACRIFICE S3-K,P,ニューギン,,,,,,,,
P_ebb0798f9f,P CYBORG009 RULE OF SACRIFICE VS SCARL BODY EDITION 199,P,ニューギン,,,,,,,,
P_533d2516b1,P DD北斗の拳2 ついでに愛を取り戻せ!! ケンシロウ319Ver.,P,高尾,北斗の拳,,,,,,,
P_a088b60ab8,P DD北斗の拳2 ついでに愛を取り戻せ!! ラオウ199Ver.,P,高尾,北斗の拳,,,,,,,
P_7f03d43b94,P DD北斗の拳3 V1C,P,高尾,北斗の拳,,,,,,,
P_346689a881,P DD北斗の拳3 百突99ver.,P,高尾(オーイズミ),北斗の拳,,,,,,,
P_86a7bee3ba,P FAIRY TAIL 2 JQD,P,藤商事,,,,,,,,
P_2274c7ea46,P FAIRY TAIL 89Ver.,P,藤商事,,,,,,,,
P_70ed0ee7cb,P FAIRY TAIL これが七炎竜の力だ FSA,P,藤商事,,,,,,,,
P_7418129675,P FAIRY TAIL 超一夜Ver.,P,藤商事,,,,,,,,
P_b2128bab8d,P GANTZ覚醒 SWEET2000,P,オッケー．,,,,,,,,
P_5b3be53360,P GO!GO!マリン 3000 HCD,P,サンスリー,,,,,,,,
P_3deebedf83,P GO!GO!マリン 超連撃BATTLE JTD,P,サンスリー,,,,,,,,
P_9949096c70,P GO!GO!郷 comeback stage M3-X,P,ニューギン,,,,,,,,
P_a1c81405fc,P GO!GO!郷 革命の5 M4-VLT,P,ニューギン,,,,,,,,
P_89c06ff548,P GOD EATER 究極一閃 MA,P,サンセイR&D,ゴッド,,,,,,,
P_93ee87f90a,P GOD EATER-ブラッドの覚醒- アマデジ神撃90VER,P,サンセイR&D,ゴッド,,,,,,,
P_7e19575883,P GⅠDREAMROAD MH,P,サンセイR&D,,,,,,,,
P_e32e4015c4,P J-RUSH5 HSJ-S,P,ジェイビー,,,,,,,,
P_74e18ff98b,P J-RUSH5 RSJ-S,P,ジェイビー,,,,,,,,
P_9a58025143,P JAWS3 SHARK PANIC -深淵- H1AZ5Y,P,平和,,,,,,,,
P_48e1182adc,P JAWS3 SHARK PANIC -深淵- LIGHT,P,平和,,,,,,,,
P_4e40148999,P NEW TOKIO ハカマタイプ,P,アムテックス,,,,,,,,
P_9b09a8e8ce,P ROAD TO EDEN GED,P,サミー,,,,,,,,
P_e4d7ff734c,P Re:ゼロから始める異世界生活,P,大都技研,リゼロ,,,,,,,
P_da13dc0642,P Re:ゼロから始める異世界生活 season2 129ver.,P,大都技研,リゼロ,,,,,,,
P_261e30a125,P Re:ゼロから始める異世界生活 season2 249ver.,P,大都技研,リゼロ,,,,,,,
P_f9242c4ece,P Re:ゼロから始める異世界生活 鬼がかり 199ver.,P,大都技研,リゼロ,,,,,,,
P_444cf89211,P Re:ゼロから始める異世界生活 鬼がかり 99ver.,P,大都技研,リゼロ,,,,,,,
P_c1af1c56c9,P Re:ゼロから始める異世界生活 鬼がかりver.,P,大都技研,リゼロ,,,,,,,
P_f364de7f8d,P STEINS；GATE 0 L2-K,P,ニューギン,,,,,,,,
