machine_name,category,first_report_date,data_count,avg_operation,max_operation,min_operation,avg_sales,max_sales,avg_gross_profit,max_gross_profit,latest_report_date,latest_operation,latest_sales,latest_gross_profit,operation_contribution_weeks,avg_operation_4w,avg_sales_4w,avg_gross_profit_4w,recent_week_count,avg_operation_12w,avg_gross_profit_12w,recent12_week_count,machine_id,formal_machine_name,maker_name,series_name,sub_series_name,machine_type,is_smart,is_lt,is_active,latest_operation_score,recent4_operation_score,recent12_operation_score,recent_profit_score,long_lifecycle_score,latest_rank_in_category,recent_rank_penalty,active_popularity_score,legend_score,asset_score,active_grade,legend_grade,asset_grade,ai_comment
Pポチッと一発!おだてブタ2 V1,P,2024-01-17,122,19606.72131147541,42870,16360,11798.524590163934,22970,1552.532786885246,4427,2026-06-24,17180,10269,1042,122,17196.666666666668,10114.333333333334,823.1666666666666,6.0,17486.153846153848,989.3076923076923,13.0,P_548059b053,Pポチッと一発!おだてブタ2 V1,アムテックス,,,パチンコ,False,False,True,38.77,31.96,33.0,9.06,53.98,33.0,0,32.97,50.64,27.97,D,C,D,Pポチッと一発!おだてブタ2 V1は最新稼働17180、直近4週平均稼働17197、稼働貢献週122週。現役人気指数33.0、長期名機指数50.6、ホール資産指数28.0。
Pフィーバー機動戦士ガンダムユニコーン b,P,2021-08-11,91,21680.659340659342,42340,9460,43716.0989010989,81674,4970.571428571428,12886,2023-05-24,9460,19789,2175,89,,,,,,,,P_4edde606a7,Pフィーバー機動戦士ガンダムユニコーン b,SANKYO,,,パチンコ,False,False,False,20.12,,,,39.38,521.0,20,,50.42,,D,C,D,Pフィーバー機動戦士ガンダムユニコーン bは最新稼働9460、直近4週平均稼働0、稼働貢献週89週。現役人気指数nan、長期名機指数50.4、ホール資産指数nan。
Pスーパー海物語IN沖縄5 夜桜超旋風 99ver.,P,2023-01-18,171,13029.064327485381,35000,9420,18807.02923976608,45574,3329.409356725146,6012,2026-06-24,10830,16303,3220,166,10378.333333333334,15626.666666666666,2726.6666666666665,6.0,10700.0,2955.3076923076924,13.0,P_2217ff8ba4,Pスーパー海物語IN沖縄5 夜桜超旋風 99ver.,三洋,海物語,,甘デジ/ライト,False,False,True,23.43,13.7,14.89,19.52,73.45,312.0,20,0.37,50.0,31.58,D,C,D,Pスーパー海物語IN沖縄5 夜桜超旋風 99ver.は最新稼働10830、直近4週平均稼働10378、稼働貢献週166週。現役人気指数0.4、長期名機指数50.0、ホール資産指数31.6。
ぱちんこCR真・北斗無双 FWN,P,2019-09-04,129,20591.24031007752,32790,11750,36883.46511627907,56622,3533.3488372093025,9032,2022-04-06,13960,25174,3262,129,,,,,,,,P_b02cfe2aef,ぱちんこCR真・北斗無双 FWN,サミー,北斗の拳,無双,パチンコ,False,False,False,30.99,,,,57.08,100.0,20,,49.76,,D,C,D,ぱちんこCR真・北斗無双 FWNは最新稼働13960、直近4週平均稼働0、稼働貢献週129週。現役人気指数nan、長期名機指数49.8、ホール資産指数nan。
PAわんわんパラダイスV GBA,P,2021-03-17,183,12482.896174863388,29660,9060,18007.96174863388,38396,2948.530054644809,5392,2024-10-30,9480,14513,2773,181,,,,,,,,P_55aa1567e2,PAわんわんパラダイスV GBA,サンスリー,,,甘デジ/ライト,False,False,False,20.17,,,,80.09,520.0,20,,49.06,,D,C,D,PAわんわんパラダイスV GBAは最新稼働9480、直近4週平均稼働0、稼働貢献週181週。現役人気指数nan、長期名機指数49.1、ホール資産指数nan。
Pアズールレーン THE ANIMATION 異次元トリガー M4,P,2024-07-17,8,28541.25,41350,18130,60764.125,84678,10303.625,13376,2024-09-11,18130,39355,6585,8,,,,,,,,P_0a0aa73d6e,Pアズールレーン THE ANIMATION 異次元トリガー M4,京楽産業．,,,パチンコ,False,False,False,41.07,,,,3.54,22.0,0,,48.69,,D,C,D,Pアズールレーン THE ANIMATION 異次元トリガー M4は最新稼働18130、直近4週平均稼働0、稼働貢献週8週。現役人気指数nan、長期名機指数48.7、ホール資産指数nan。
P大工の源さん 超韋駄天 YTA,P,2020-04-30,66,23431.060606060608,40750,11940,43822.121212121216,73938,5750.181818181818,13520,2021-09-29,12620,23707,2872,66,,,,,,,,P_b31705e320,P大工の源さん 超韋駄天 YTA,三洋,,,パチンコ,False,False,False,27.76,,,,29.2,156.0,20,,48.62,,D,C,D,P大工の源さん 超韋駄天 YTAは最新稼働12620、直近4週平均稼働0、稼働貢献週66週。現役人気指数nan、長期名機指数48.6、ホール資産指数nan。
P牙狼 月虹ノ旅人 MC,P,2021-06-16,35,25806.285714285714,44570,10740,52507.77142857143,85450,6586.228571428572,12521,2022-02-16,10810,22710,2690,35,,,,,,,,P_4e87e71216,P牙狼 月虹ノ旅人 MC,サンセイR&D,牙狼,,パチンコ,False,False,False,23.38,,,,15.49,317.0,20,,48.51,,D,C,D,P牙狼 月虹ノ旅人 MCは最新稼働10810、直近4週平均稼働0、稼働貢献週35週。現役人気指数nan、長期名機指数48.5、ホール資産指数nan。
PAフィーバー機動戦士ガンダムユニコーン LIGHT ver.,P,2023-05-24,1,31680.0,31680,31680,56218.0,56218,12961.0,12961,2023-05-24,31680,56218,12961,1,,,,,,,,P_d09f0720e9,PAフィーバー機動戦士ガンダムユニコーン LIGHT ver.,SANKYO,,,甘デジ/ライト,False,False,False,73.81,,,,0.44,3.0,0,,48.24,,D,C,D,PAフィーバー機動戦士ガンダムユニコーン LIGHT ver.は最新稼働31680、直近4週平均稼働0、稼働貢献週1週。現役人気指数nan、長期名機指数48.2、ホール資産指数nan。
P NEW TOKIO ハカマタイプ,P,2021-07-07,184,15608.315217391304,23900,13310,9867.391304347826,14408,1219.429347826087,2647,2026-06-24,15490,9597,734,184,14971.666666666666,9322.333333333334,791.1666666666666,6.0,15269.0,910.4,10.0,P_4e40148999,P NEW TOKIO ハカマタイプ,アムテックス,,,パチンコ,False,False,True,34.69,26.0,27.08,8.88,81.42,62.0,20,9.83,47.84,30.06,D,C,D,P NEW TOKIO ハカマタイプは最新稼働15490、直近4週平均稼働14972、稼働貢献週184週。現役人気指数9.8、長期名機指数47.8、ホール資産指数30.1。
P北斗の拳 暴凶星 SFPA,P,2023-05-17,133,15083.684210526315,33450,9570,30976.63157894737,67306,4833.097744360903,10524,2026-01-14,9910,20905,3503,130,,,,,,,,P_b467b5b3da,P北斗の拳 暴凶星 SFPA,サミー,北斗の拳,暴凶星,甘デジ/ライト,False,False,False,21.21,,,,57.52,445.0,20,,47.33,,D,C,D,P北斗の拳 暴凶星 SFPAは最新稼働9910、直近4週平均稼働0、稼働貢献週130週。現役人気指数nan、長期名機指数47.3、ホール資産指数nan。
eとある科学の超電磁砲 PHASE NEXT LTRSY,P,2025-10-16,4,28462.5,35410,22400,67810.0,82701,10827.25,11913,2025-11-05,22400,54225,9645,4,,,,,,,,P_41c2e679b8,eとある科学の超電磁砲 PHASE NEXT LTRSY,オレンジ,,,スマパチ,True,True,False,51.39,,,,1.77,10.0,0,,46.08,,D,C,D,eとある科学の超電磁砲 PHASE NEXT LTRSYは最新稼働22400、直近4週平均稼働0、稼働貢献週4週。現役人気指数nan、長期名機指数46.1、ホール資産指数nan。
Pバキ 319ver.,P,2021-12-01,60,17042.333333333332,46710,7610,37011.5,95406,6554.166666666667,15895,2023-02-01,7610,16652,3330,56,,,,,,,,P_c436a44df5,Pバキ 319ver.,アムテックス,,,パチンコ,False,False,False,15.65,,,,24.78,853.0,20,,45.88,,D,C,D,Pバキ 319ver.は最新稼働7610、直近4週平均稼働0、稼働貢献週56週。現役人気指数nan、長期名機指数45.9、ホール資産指数nan。
eぱちんこ押忍!番長 漢の頂 L09,P,2025-01-15,50,19916.2,45590,7220,43208.66,93971,7803.82,18682,2026-02-04,7990,18067,3735,36,,,,,,,,P_63bb64a943,eぱちんこ押忍!番長 漢の頂 L09,大都技研,番長,,スマパチ,True,False,False,16.57,,,,15.93,800.0,20,,45.88,,D,C,D,eぱちんこ押忍!番長 漢の頂 L09は最新稼働7990、直近4週平均稼働0、稼働貢献週36週。現役人気指数nan、長期名機指数45.9、ホール資産指数nan。
PA大海物語5 Withアグネス・ラム ARBC,P,2023-07-12,148,13382.702702702703,31670,10760,15760.128378378378,33437,2241.587837837838,3582,2026-06-24,12610,15114,2156,148,11698.333333333334,14057.333333333334,1936.0,6.0,12136.923076923076,2077.6923076923076,13.0,P_3522a4e5f7,PA大海物語5 Withアグネス・ラム ARBC,三洋,海物語,大海5,甘デジ/ライト,False,False,True,27.73,17.23,18.73,15.18,65.49,157.0,20,2.81,45.56,28.57,D,C,D,PA大海物語5 Withアグネス・ラム ARBCは最新稼働12610、直近4週平均稼働11698、稼働貢献週148週。現役人気指数2.8、長期名機指数45.6、ホール資産指数28.6。
P大海物語4 スペシャル E,P,2020-12-23,163,15447.730061349694,22350,9710,23057.644171779142,32452,2210.165644171779,3785,2024-04-24,10750,17099,2191,161,,,,,,,,P_886a301c3e,P大海物語4 スペシャル E,三洋,海物語,,パチンコ,False,False,False,23.24,,,,71.24,329.0,20,,44.86,,D,C,D,P大海物語4 スペシャル Eは最新稼働10750、直近4週平均稼働0、稼働貢献週161週。現役人気指数nan、長期名機指数44.9、ホール資産指数nan。
CR大海物語4 MTB,P,2019-09-04,122,18973.93442622951,27840,7880,26717.09836065574,38358,2446.467213114754,5418,2022-02-16,18930,26479,3372,120,,,,,,,,P_b9f3f6517f,CR大海物語4 MTB,三洋,海物語,,パチンコ,False,False,False,43.0,,,,53.1,18.0,0,,44.43,,D,C,D,CR大海物語4 MTBは最新稼働18930、直近4週平均稼働0、稼働貢献週120週。現役人気指数nan、長期名機指数44.4、ホール資産指数nan。
Pぱちんこアズールレーン THE ANIMATION MC2,P,2022-12-14,21,22504.285714285714,43580,10660,45466.23809523809,85089,7240.428571428572,12957,2023-05-10,13200,26676,4997,21,,,,,,,,P_578c90466f,Pぱちんこアズールレーン THE ANIMATION MC2,京楽産業．,,,パチンコ,False,False,False,29.16,,,,9.29,122.0,20,,44.42,,D,C,D,Pぱちんこアズールレーン THE ANIMATION MC2は最新稼働13200、直近4週平均稼働0、稼働貢献週21週。現役人気指数nan、長期名機指数44.4、ホール資産指数nan。
eフィーバーキン肉マン,P,2026-04-29,9,23655.555555555555,39650,13250,55081.88888888889,90932,9868.444444444445,16726,2026-06-24,13250,31377,5549,9,17243.333333333332,40606.5,6972.666666666667,6.0,23655.555555555555,9868.444444444445,9.0,P_ab30d1aa63,eフィーバーキン肉マン,SANKYO,,,スマパチ,True,False,True,29.28,32.09,49.46,42.87,3.98,119.0,20,13.53,44.25,41.3,D,C,C,eフィーバーキン肉マンは最新稼働13250、直近4週平均稼働17243、稼働貢献週9週。現役人気指数13.5、長期名機指数44.2、ホール資産指数41.3。
CRビッグドリーム～神撃 259Ver.,P,2019-09-04,106,16508.584905660377,30270,9660,31958.490566037737,56357,5327.103773584906,11812,2021-10-27,13190,26133,3567,105,,,,,,,,P_b7f763d67f,CRビッグドリーム～神撃 259Ver.,タイヨーエレック,,,パチンコ,False,False,False,29.13,,,,46.46,125.0,20,,44.13,,D,C,D,CRビッグドリーム～神撃 259Ver.は最新稼働13190、直近4週平均稼働0、稼働貢献週105週。現役人気指数nan、長期名機指数44.1、ホール資産指数nan。
e牙狼12黄金騎士極限 XX-MJ,P,2025-08-13,43,21201.86046511628,39080,16270,49606.53488372093,90589,6562.069767441861,15221,2026-06-24,16870,39281,4676,43,17186.666666666668,39977.833333333336,4374.166666666667,6.0,18354.615384615383,4943.384615384615,13.0,P_a9fd9309b8,e牙狼12黄金騎士極限 XX-MJ,サンセイR&D,牙狼,,スマパチ,True,False,True,38.02,31.93,35.31,28.58,19.03,37.0,0,33.28,43.97,35.04,D,C,D,e牙狼12黄金騎士極限 XX-MJは最新稼働16870、直近4週平均稼働17187、稼働貢献週43週。現役人気指数33.3、長期名機指数44.0、ホール資産指数35.0。
CR聖闘士星矢-BEYOND THE LIMIT- MLA,P,2019-09-04,117,16874.700854700855,24520,11070,31992.0,44525,5615.581196581196,8719,2022-01-19,17700,33062,4987,117,,,,,,,,P_419dd7e3f1,CR聖闘士星矢-BEYOND THE LIMIT- MLA,三洋,,,パチンコ,False,False,False,40.03,,,,51.77,27.0,0,,43.83,,D,C,D,CR聖闘士星矢-BEYOND THE LIMIT- MLAは最新稼働17700、直近4週平均稼働0、稼働貢献週117週。現役人気指数nan、長期名機指数43.8、ホール資産指数nan。
P緋弾のアリア ～緋緋神降臨～ ラッキートリガーVer.,P,2024-03-13,25,22374.8,40900,11420,46632.52,81009,7332.92,11836,2024-09-04,11420,24142,3841,25,,,,,,,,P_1d173849d5,P緋弾のアリア ～緋緋神降臨～ ラッキートリガーVer.,藤商事,,,LT,False,True,False,24.86,,,,11.06,244.0,20,,43.83,,D,C,D,P緋弾のアリア ～緋緋神降臨～ ラッキートリガーVer.は最新稼働11420、直近4週平均稼働0、稼働貢献週25週。現役人気指数nan、長期名機指数43.8、ホール資産指数nan。
P大海物語4 スペシャル BLACK SCA,P,2021-06-02,140,13929.714285714286,28580,10560,19771.10714285714,38637,2390.9785714285713,3808,2024-09-25,11590,16737,2367,140,,,,,,,,P_0ef4fcbbfa,P大海物語4 スペシャル BLACK SCA,三洋,海物語,,パチンコ,False,False,False,25.27,,,,61.95,228.0,20,,43.73,,D,C,D,P大海物語4 スペシャル BLACK SCAは最新稼働11590、直近4週平均稼働0、稼働貢献週140週。現役人気指数nan、長期名機指数43.7、ホール資産指数nan。
P大海物語5スペシャル ALTA,P,2024-11-13,80,21859.0,31690,18410,33970.2875,47163,3172.4625,5678,2026-06-24,20970,32782,2971,80,19633.333333333332,30625.0,2542.8333333333335,6.0,20815.384615384617,2989.923076923077,13.0,P_c67908752a,P大海物語5スペシャル ALTA,三洋,海物語,大海5,LT,False,True,True,47.93,38.49,41.88,18.51,35.4,12.0,0,39.68,43.4,31.59,D,C,D,P大海物語5スペシャル ALTAは最新稼働20970、直近4週平均稼働19633、稼働貢献週80週。現役人気指数39.7、長期名機指数43.4、ホール資産指数31.6。
デジハネCRA聖戦士ダンバイン デジハネver.,P,2019-09-04,113,17982.389380530974,22950,13570,29469.743362831858,36009,5522.814159292036,7073,2021-12-22,15940,26938,4973,113,,,,,,,,P_8f41ceb319,デジハネCRA聖戦士ダンバイン デジハネver.,サミー,,,甘デジ/ライト,False,False,False,35.78,,,,50.0,51.0,20,,43.36,,D,C,D,デジハネCRA聖戦士ダンバイン デジハネver.は最新稼働15940、直近4週平均稼働0、稼働貢献週113週。現役人気指数nan、長期名機指数43.4、ホール資産指数nan。
e 新世紀エヴァンゲリオン ～はじまりの記憶～ R,P,2025-12-31,26,21216.153846153848,43930,11700,49770.5,99424,6039.653846153846,15982,2026-06-24,12050,28781,3313,26,12476.666666666666,29695.5,3082.8333333333335,6.0,15039.23076923077,3883.4615384615386,13.0,P_c91c5e648d,e 新世紀エヴァンゲリオン ～はじまりの記憶～ R,ビスティ,エヴァンゲリオン,,スマパチ,True,False,True,26.38,19.32,26.47,21.48,11.5,192.0,20,2.34,43.29,28.21,D,C,D,e 新世紀エヴァンゲリオン ～はじまりの記憶～ Rは最新稼働12050、直近4週平均稼働12477、稼働貢献週26週。現役人気指数2.3、長期名機指数43.3、ホール資産指数28.2。
P戦国乙女6 暁の関ヶ原 M2AZ1Y,P,2020-10-14,26,22646.53846153846,43040,11650,38201.653846153844,65773,4758.2307692307695,7580,2021-05-12,13530,23311,3456,26,,,,,,,,P_a695cdff9a,P戦国乙女6 暁の関ヶ原 M2AZ1Y,アムテックス,戦国乙女,,パチンコ,False,False,False,29.95,,,,11.5,109.0,20,,42.86,,D,C,D,P戦国乙女6 暁の関ヶ原 M2AZ1Yは最新稼働13530、直近4週平均稼働0、稼働貢献週26週。現役人気指数nan、長期名機指数42.9、ホール資産指数nan。
eスマートぱちんこ ソードアート・オンライン K12,P,2023-09-13,29,19213.793103448275,45230,8030,41061.620689655174,89133,6670.793103448276,15218,2024-05-08,11320,24471,4554,25,,,,,,,,P_ef74208573,eスマートぱちんこ ソードアート・オンライン K12,京楽産業．,ソードアート・オンライン,,スマパチ,True,False,False,24.61,,,,11.06,258.0,20,,42.8,,D,C,D,eスマートぱちんこ ソードアート・オンライン K12は最新稼働11320、直近4週平均稼働0、稼働貢献週25週。現役人気指数nan、長期名機指数42.8、ホール資産指数nan。
eフィーバーからくりサーカス2 魔王ver.,P,2024-11-13,45,21030.666666666668,37600,7710,46448.51111111111,81200,6368.622222222222,13877,2026-01-07,11430,25821,5062,41,,,,,,,,P_ac10d15c2a,eフィーバーからくりサーカス2 魔王ver.,SANKYO,,,スマパチ,True,False,False,24.88,,,,18.14,239.0,20,,42.8,,D,C,D,eフィーバーからくりサーカス2 魔王ver.は最新稼働11430、直近4週平均稼働0、稼働貢献週41週。現役人気指数nan、長期名機指数42.8、ホール資産指数nan。
Pフィーバー バイオハザード リベレーションズ2 Z,P,2020-01-15,6,24740.0,39190,15190,42083.0,65526,7720.0,11677,2020-02-19,15190,25866,4966,6,,,,,,,,P_03f92f84b1,Pフィーバー バイオハザード リベレーションズ2 Z,SANKYO,,,パチンコ,False,False,False,33.96,,,,2.65,69.0,20,,42.61,,D,C,D,Pフィーバー バイオハザード リベレーションズ2 Zは最新稼働15190、直近4週平均稼働0、稼働貢献週6週。現役人気指数nan、長期名機指数42.6、ホール資産指数nan。
Pぱちんこ シン・エヴァンゲリオン Type レイ,P,2023-12-27,67,15971.492537313432,43890,8780,33866.08955223881,88221,4174.194029850746,15180,2025-05-07,11230,24452,3643,61,,,,,,,,P_8aebf2dc38,Pぱちんこ シン・エヴァンゲリオン Type レイ,ビスティ,エヴァンゲリオン,,パチンコ,False,False,False,24.4,,,,26.99,268.0,20,,42.58,,D,C,D,Pぱちんこ シン・エヴァンゲリオン Type レイは最新稼働11230、直近4週平均稼働0、稼働貢献週61週。現役人気指数nan、長期名機指数42.6、ホール資産指数nan。
CR大海物語BLACK ライト,P,2019-09-04,121,17612.80991735537,23740,7460,25721.73553719008,33330,3522.6115702479337,5591,2022-02-09,18580,25496,3711,119,,,,,,,,P_1fb31334e2,CR大海物語BLACK ライト,三洋,海物語,,パチンコ,False,False,False,42.16,,,,52.65,20.0,0,,42.53,,D,C,D,CR大海物語BLACK ライトは最新稼働18580、直近4週平均稼働0、稼働貢献週119週。現役人気指数nan、長期名機指数42.5、ホール資産指数nan。
PA乗物娘 WITH CYBERJAPAN(R) DANCERS 77ver.,P,2021-09-29,168,11779.166666666666,29390,8770,15489.14880952381,33008,2994.8273809523807,4557,2025-05-07,10660,15096,3378,135,,,,,,,,P_fa53c5b510,PA乗物娘 WITH CYBERJAPAN(R) DANCERS 77ver.,ニューギン,,,甘デジ/ライト,False,False,False,23.02,,,,59.73,339.0,20,,42.38,,D,C,D,PA乗物娘 WITH CYBERJAPAN(R) DANCERS 77ver.は最新稼働10660、直近4週平均稼働0、稼働貢献週135週。現役人気指数nan、長期名機指数42.4、ホール資産指数nan。
P貞子 FMD,P,2024-07-17,42,17515.714285714286,42170,8150,36026.78571428572,83952,7970.0,20153,2025-05-14,8940,19034,4680,32,,,,,,,,P_ecdc91a565,P貞子 FMD,藤商事,,,パチンコ,False,False,False,18.86,,,,14.16,610.0,20,,42.34,,D,C,D,P貞子 FMDは最新稼働8940、直近4週平均稼働0、稼働貢献週32週。現役人気指数nan、長期名機指数42.3、ホール資産指数nan。
Pベルセルク無双 M-Z,P,2021-06-02,34,19560.29411764706,42710,8790,38724.0,79150,5654.529411764706,11634,2022-01-26,8790,17852,2671,33,,,,,,,,P_2bd798c51d,Pベルセルク無双 M-Z,ニューギン,,無双,パチンコ,False,False,False,18.5,,,,14.6,639.0,20,,42.2,,D,C,D,Pベルセルク無双 M-Zは最新稼働8790、直近4週平均稼働0、稼働貢献週33週。現役人気指数nan、長期名機指数42.2、ホール資産指数nan。
P銀河鉄道999 GOLDEN 甘デジ,P,2021-03-31,134,12174.253731343284,32230,8850,18386.402985074626,44267,2964.0671641791046,5586,2023-12-27,8980,14399,2341,122,,,,,,,,P_849287228b,P銀河鉄道999 GOLDEN 甘デジ,アムテックス,,,甘デジ/ライト,False,False,False,18.96,,,,53.98,601.0,20,,42.09,,D,C,D,P銀河鉄道999 GOLDEN 甘デジは最新稼働8980、直近4週平均稼働0、稼働貢献週122週。現役人気指数nan、長期名機指数42.1、ホール資産指数nan。
Pぱちんこ キン肉マン3 キン肉星王位争奪編 火事場ゴールド,P,2022-03-16,12,21147.5,43380,9200,46020.083333333336,88177,7508.666666666667,13240,2022-06-08,9200,20949,3703,9,,,,,,,,P_07f654aedd,Pぱちんこ キン肉マン3 キン肉星王位争奪編 火事場ゴールド,京楽産業．,,,パチンコ,False,False,False,19.49,,,,3.98,564.0,20,,42.0,,D,C,D,Pぱちんこ キン肉マン3 キン肉星王位争奪編 火事場ゴールドは最新稼働9200、直近4週平均稼働0、稼働貢献週9週。現役人気指数nan、長期名機指数42.0、ホール資産指数nan。
P亜人～衝戟に備えろ!～ 199ver.,P,2019-11-13,6,22898.333333333332,36630,15550,39593.333333333336,62455,9620.833333333334,15105,2019-12-18,15550,26935,6081,6,,,,,,,,P_884a53516f,P亜人～衝戟に備えろ!～ 199ver.,平和,,,甘デジ/ライト,False,False,False,34.83,,,,2.65,60.0,20,,41.84,,D,C,D,P亜人～衝戟に備えろ!～ 199ver.は最新稼働15550、直近4週平均稼働0、稼働貢献週6週。現役人気指数nan、長期名機指数41.8、ホール資産指数nan。
