machine_name,category,first_report_date,data_count,avg_operation,max_operation,min_operation,avg_sales,max_sales,avg_gross_profit,max_gross_profit,latest_report_date,latest_operation,latest_sales,latest_gross_profit,operation_contribution_weeks,avg_operation_4w,avg_operation_12w,machine_id,formal_machine_name,maker_name,series_name,sub_series_name,machine_type,is_smart,is_lt,operation_score,latest_operation_score,profit_score_base,lifecycle_score_base,profit_tolerance_score,popularity_score,profit_score,lifecycle_score,overall_score,overall_grade,ai_comment
Pドラム花火の源さん HCB,P,2024-01-17,8,13772.5,23870,8740,28939.5,49124,5479.5,9548,2024-03-06,8740,18563,3690,6,9930.0,13772.5,P_3b3191dc27,Pドラム花火の源さん HCB,サンスリー,,,パチンコ,False,False,26.72,18.38,44.14,2.65,36.3,20.78,39.57,10.9,23.95,D,Pドラム花火の源さん HCBは平均稼働13772、平均粗利5480、稼働貢献週6週。人気指数20.8、粗利指数39.6、寿命指数10.9。
Pフィーバー戦姫絶唱シンフォギア4 199ver.,P,2025-02-12,9,13781.111111111111,26280,7920,30250.333333333332,57352,5749.111111111111,11395,2025-04-09,7920,17579,3432,6,9175.0,13781.111111111111,P_3f9b00a6fb,Pフィーバー戦姫絶唱シンフォギア4 199ver.,SANKYO,,,甘デジ/ライト,False,False,26.74,16.4,45.29,2.65,36.94,20.36,40.42,10.64,23.95,D,Pフィーバー戦姫絶唱シンフォギア4 199ver.は平均稼働13781、平均粗利5749、稼働貢献週6週。人気指数20.4、粗利指数40.4、寿命指数10.6。
Pルパン三世 2000カラットの涙 129Ver.,P,2023-03-15,27,14045.185185185184,33280,8650,24341.11111111111,54689,4160.259259259259,9114,2023-09-20,8650,15212,2078,23,9135.0,10177.5,P_325660de6b,Pルパン三世 2000カラットの涙 129Ver.,平和,ルパン三世,,パチンコ,False,False,27.37,18.16,38.55,10.18,33.52,22.24,35.62,12.99,23.94,D,Pルパン三世 2000カラットの涙 129Ver.は平均稼働14045、平均粗利4160、稼働貢献週23週。人気指数22.2、粗利指数35.6、寿命指数13.0。
P 冬のソナタ My Memory M7,P,2025-02-12,7,14975.714285714286,23830,9650,26860.571428571428,41054,4200.571428571428,5288,2025-03-26,9650,17934,3223,5,11360.0,14975.714285714286,P_fe1e621193,P 冬のソナタ My Memory M7,京楽産業．,,,パチンコ,False,False,29.59,20.58,38.72,2.21,34.61,22.36,36.32,11.87,23.93,D,P 冬のソナタ My Memory M7は平均稼働14976、平均粗利4201、稼働貢献週5週。人気指数22.4、粗利指数36.3、寿命指数11.9。
P 009 RE:CYBORG ACCELERATOR EDITION M4-K,P,2021-11-17,141,10532.198581560284,36670,6780,20155.81560283688,67400,4480.234042553191,14445,2026-06-10,7490,14945,3415,51,7345.0,7945.833333333333,P_8b3c3d8957,P 009 RE:CYBORG ACCELERATOR EDITION M4-K,ニューギン,,,パチンコ,False,False,18.98,15.36,39.91,22.57,30.49,19.94,34.42,18.45,23.91,D,P 009 RE:CYBORG ACCELERATOR EDITION M4-Kは平均稼働10532、平均粗利4480、稼働貢献週51週。人気指数19.9、粗利指数34.4、寿命指数18.4。
P銭形平次3 DENKOUSEKKA 平次Ver.,P,2022-09-14,9,14525.555555555555,28760,8510,30628.666666666668,58784,4834.777777777777,8289,2022-11-09,8890,19101,2863,6,9107.5,14525.555555555555,P_7408a22bc8,P銭形平次3 DENKOUSEKKA 平次Ver.,高尾,,,パチンコ,False,False,28.51,18.74,41.41,2.65,35.61,21.61,38.02,11.05,23.89,D,P銭形平次3 DENKOUSEKKA 平次Ver.は平均稼働14526、平均粗利4835、稼働貢献週6週。人気指数21.6、粗利指数38.0、寿命指数11.1。
P痛いのは嫌なので防御力に極振りしたいと思います。 FHZ,P,2025-04-30,9,13675.555555555555,27640,8210,30805.222222222223,61342,5840.777777777777,11737,2025-07-09,8640,19908,3717,4,8625.0,13675.555555555555,P_515da1e54d,P痛いのは嫌なので防御力に極振りしたいと思います。 FHZ,藤商事,,,パチンコ,False,False,26.48,18.14,45.68,1.77,37.04,20.51,40.64,9.85,23.88,D,P痛いのは嫌なので防御力に極振りしたいと思います。 FHZは平均稼働13676、平均粗利5841、稼働貢献週4週。人気指数20.5、粗利指数40.6、寿命指数9.8。
Pデジハネ蒼天の拳 双龍 GSB,P,2022-04-27,11,14631.818181818182,29280,9770,23735.090909090908,45412,3971.5454545454545,7347,2022-07-20,9770,16215,2739,10,10475.0,14631.818181818182,P_9e9ee7c6ba,Pデジハネ蒼天の拳 双龍 GSB,サミー,,,甘デジ/ライト,False,False,28.77,20.87,37.75,4.42,33.71,22.42,35.39,12.67,23.87,D,Pデジハネ蒼天の拳 双龍 GSBは平均稼働14632、平均粗利3972、稼働貢献週10週。人気指数22.4、粗利指数35.4、寿命指数12.7。
P咲-Saki-全国編 テンパイ即リーver.,P,2024-03-27,14,14700.0,28980,8360,27184.0,50823,4542.071428571428,8940,2024-08-06,8360,16227,3183,11,9415.0,12674.166666666666,P_ebf0f9f465,P咲-Saki-全国編 テンパイ即リーver.,三洋,,,パチンコ,False,False,28.93,17.46,40.17,4.87,35.11,21.87,37.22,11.39,23.86,D,P咲-Saki-全国編 テンパイ即リーver.は平均稼働14700、平均粗利4542、稼働貢献週11週。人気指数21.9、粗利指数37.2、寿命指数11.4。
PAヤッターマンVVV YBB,P,2020-10-14,4,15047.5,19680,11430,21797.25,28167,3388.5,3895,2020-11-11,11430,16554,3049,4,15047.5,15047.5,P_84e27f6403,PAヤッターマンVVV YBB,サンスリー,,,甘デジ/ライト,False,False,29.76,24.88,35.28,1.77,32.8,23.25,33.83,12.97,23.85,D,PAヤッターマンVVV YBBは平均稼働15048、平均粗利3388、稼働貢献週4週。人気指数23.2、粗利指数33.8、寿命指数13.0。
