series_name,brand_name,maker_name,parent_series_name,category_hint,memo
未分類,未分類,大都技研,,S,ベースExcelから自動生成
未分類,未分類,カルミナ,,S,ベースExcelから自動生成
未分類,未分類,オリンピアエステート,,S,ベースExcelから自動生成
未分類,未分類,オッケー．,,S,ベースExcelから自動生成
未分類,未分類,ディ・ライト,,S,ベースExcelから自動生成
未分類,未分類,EXCITE,,S,ベースExcelから自動生成
未分類,未分類,アデリオン,,S,ベースExcelから自動生成
未分類,未分類,エンターライズ,,S,ベースExcelから自動生成
未分類,未分類,エフ,,S,ベースExcelから自動生成
未分類,未分類,ニューギン,,S,ベースExcelから自動生成
未分類,未分類,大一商会,,S,ベースExcelから自動生成
未分類,未分類,アイドル,,S,ベースExcelから自動生成
未分類,未分類,ユニバーサルブロス,,S,ベースExcelから自動生成
未分類,未分類,エレコ,,S,ベースExcelから自動生成
未分類,未分類,山佐,,S,ベースExcelから自動生成
未分類,未分類,ｵｰｲｽﾞﾐ･ｱﾐｭｰｼﾞｵ,,S,ベースExcelから自動生成
未分類,未分類,ビスティ,,S,ベースExcelから自動生成
未分類,未分類,オーイズミ,,S,ベースExcelから自動生成
未分類,未分類,北電子,,S,ベースExcelから自動生成
未分類,未分類,アムテックス,,S,ベースExcelから自動生成
未分類,未分類,ネット,,S,ベースExcelから自動生成
未分類,未分類,パオン・ディーピー,,S,ベースExcelから自動生成
未分類,未分類,サンスリー,,S,ベースExcelから自動生成
未分類,未分類,藤商事,,S,ベースExcelから自動生成
未分類,未分類,DAXEL,,S,ベースExcelから自動生成
未分類,未分類,アクロス,,S,ベースExcelから自動生成
未分類,未分類,JFJ,,S,ベースExcelから自動生成
未分類,未分類,山佐ネクスト,,S,ベースExcelから自動生成
未分類,未分類,ミズホ,,S,ベースExcelから自動生成
未分類,未分類,レオスター,,S,ベースExcelから自動生成
未分類,未分類,セブンリーグ,,S,ベースExcelから自動生成
未分類,未分類,山佐NEXT,,S,ベースExcelから自動生成
未分類,未分類,パイオニア,,S,ベースExcelから自動生成
未分類,未分類,サボハニ,,S,ベースExcelから自動生成
未分類,未分類,ベルコ,,S,ベースExcelから自動生成
未分類,未分類,オリンピア,,S,ベースExcelから自動生成
未分類,未分類,SANKYO,,S,ベースExcelから自動生成
未分類,未分類,三洋,,S,ベースExcelから自動生成
未分類,未分類,コナミアミューズメント,,S,ベースExcelから自動生成
未分類,未分類,豊丸,,S,ベースExcelから自動生成
未分類,未分類,高尾,,S,ベースExcelから自動生成
未分類,未分類,西陣,,S,ベースExcelから自動生成
未分類,未分類,ロデオ,,S,ベースExcelから自動生成
未分類,未分類,ヤーマ,,S,ベースExcelから自動生成
未分類,未分類,タイヨーエレック,,S,ベースExcelから自動生成
未分類,未分類,ジェイビー,,S,ベースExcelから自動生成
未分類,未分類,ワールド,,S,ベースExcelから自動生成
未分類,未分類,サンセイR&D,,S,ベースExcelから自動生成
未分類,未分類,新日テクノロジー,,S,ベースExcelから自動生成
まどか☆マギカ,まどか☆マギカ,ミズホ,,S,ベースExcelから自動生成
まどか☆マギカ,まどか☆マギカ,メーシー,,S,ベースExcelから自動生成
ゴッド,ゴッド,セブンリーグ,,S,ベースExcelから自動生成
ゴッド,ゴッド,ミズホ,,S,ベースExcelから自動生成
ゴッド,ゴッド,山佐,,S,ベースExcelから自動生成
ゴッド,ゴッド,ユニバーサルブロス,,S,ベースExcelから自動生成
ジャグラー,ジャグラー,北電子,,S,ベースExcelから自動生成
ソードアート・オンライン,ソードアート・オンライン,大都技研,,S,ベースExcelから自動生成
ハナハナ,ハナハナ,パイオニア,,S,ベースExcelから自動生成
バジリスク,バジリスク,ミズホ,,S,ベースExcelから自動生成
バジリスク,バジリスク,メーシー,,S,ベースExcelから自動生成
バジリスク,バジリスク,エレコ,,S,ベースExcelから自動生成
モンキーターン,モンキーターン,山佐,,S,ベースExcelから自動生成
モンキーターン,モンキーターン,西陣,,S,ベースExcelから自動生成
リゼロ,リゼロ,パオン・ディーピー,,S,ベースExcelから自動生成
リゼロ,リゼロ,サボハニ,,S,ベースExcelから自動生成
北斗の拳,北斗の拳,サミー,,S,ベースExcelから自動生成
北斗の拳,北斗の拳,高尾,,S,ベースExcelから自動生成
吉宗,吉宗,サボハニ,,S,ベースExcelから自動生成
吉宗,吉宗,大都技研,,S,ベースExcelから自動生成
戦国乙女,戦国乙女,オリンピアエステート,,S,ベースExcelから自動生成
戦国乙女,戦国乙女,オリンピア,,S,ベースExcelから自動生成
戦国乙女,戦国乙女,平和,,S,ベースExcelから自動生成
東京喰種,東京喰種,スパイキー,,S,ベースExcelから自動生成
沖ドキ,沖ドキ,メーシー,,S,ベースExcelから自動生成
沖ドキ,沖ドキ,アクロス,,S,ベースExcelから自動生成
沖ドキ,沖ドキ,ミズホ,,S,ベースExcelから自動生成
沖ドキ,沖ドキ,ユニバーサルブロス,,S,ベースExcelから自動生成
沖ドキ,沖ドキ,エレコ,,S,ベースExcelから自動生成
番長,番長,サボハニ,,S,ベースExcelから自動生成
番長,番長,大都技研,,S,ベースExcelから自動生成
番長,番長,パオン・ディーピー,,S,ベースExcelから自動生成
花の慶次,花の慶次,EXCITE,,S,ベースExcelから自動生成
花の慶次,花の慶次,ニューギン,,S,ベースExcelから自動生成
