raw_machine_name,suggested_machine_id,suggested_formal_machine_name,suggested_category,suggested_series_name,suggested_sub_series_name,suggested_machine_type,reason,review_status
PAぱちんこガラスの仮面 89ver.,P_2a2e7d4cfd,PAぱちんこガラスの仮面 89ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAぱちんこ冬のソナタ SWEET W HAPPY Version,P_0a3c3f2fc7,PAぱちんこ冬のソナタ SWEET W HAPPY Version,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAぱちんこ新鬼武者 狂鬼乱舞 Light ver.,P_20cf7540d3,PAぱちんこ新鬼武者 狂鬼乱舞 Light ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAひぐらしのなく頃に 輪廻転生 99Ver.,P_ab2e3c6828,PAひぐらしのなく頃に 輪廻転生 99Ver.,P,,転生,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAひぐらしのなく頃に～囁～ AD-FR,P_daf9a314bf,PAひぐらしのなく頃に～囁～ AD-FR,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAぶいぶい!ゴジラ かいじゅう大集合!! N-K1,P_e9896e76fd,PAぶいぶい!ゴジラ かいじゅう大集合!! N-K1,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAわんわんパラダイスCELEBRATION AGBD,P_f129bb938f,PAわんわんパラダイスCELEBRATION AGBD,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAわんわんパラダイスV GBA,P_55aa1567e2,PAわんわんパラダイスV GBA,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAガンスリンガー ストラトス 遊撃ver.,P_1d47cfc7cd,PAガンスリンガー ストラトス 遊撃ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAガールフレンド(仮) 99ver.,P_d86bd46836,PAガールフレンド(仮) 99ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAギンギラパラダイス 夢幻カーニバル 強99ver.,P_4e87c0fa33,PAギンギラパラダイス 夢幻カーニバル 強99ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAコマコマ倶楽部with坂本冬美 89STver.,P_93c15deb3a,PAコマコマ倶楽部with坂本冬美 89STver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
