machine_name,category,first_report_date,data_count,avg_operation,max_operation,min_operation,avg_sales,max_sales,avg_gross_profit,max_gross_profit,latest_report_date,latest_operation,latest_sales,latest_gross_profit,operation_contribution_weeks,avg_operation_4w,avg_operation_12w,machine_id,formal_machine_name,maker_name,series_name,sub_series_name,machine_type,is_smart,is_lt,operation_score,latest_operation_score,profit_score_base,lifecycle_score_base,profit_tolerance_score,popularity_score,profit_score,lifecycle_score,overall_score,overall_grade,ai_comment
Lうしおととら白面決戦VH,S,2025-04-16,4,8167.5,14757,1576,33185.0,58884,3410.0,6586,2025-09-10,1576,6789,41,1,8167.5,8167.5,S_41ca7f1640,Lうしおととら白面決戦VH,大一商会,,,スマスロ,True,False,13.34,1.07,35.37,0.44,25.46,8.9,29.59,5.6,14.28,D,Lうしおととら白面決戦VHは平均稼働8168、平均粗利3410、稼働貢献週1週。人気指数8.9、粗利指数29.6、寿命指数5.6。
バハマ30(2024年),S,2024-07-17,4,7698.5,10463,5281,17944.0,22691,2840.0,2986,2024-08-06,5281,13195,2986,1,7698.5,7698.5,S_a8674b72bb,バハマ30(2024年),アムテックス,,,スロット,False,False,12.22,10.02,32.95,0.44,23.62,10.45,27.51,5.15,14.24,D,バハマ30(2024年)は平均稼働7698、平均粗利2840、稼働貢献週1週。人気指数10.4、粗利指数27.5、寿命指数5.2。
SLOTアカギ～闇に降り立った天才～,S,2021-05-12,1,5912.0,5912,5912,18131.0,18131,4404.0,4404,2021-05-12,5912,18131,4404,0,5912.0,5912.0,S_127a495795,SLOTアカギ～闇に降り立った天才～,メーシー,,,パチスロ,False,False,7.95,11.55,39.58,0.0,25.35,9.0,31.28,3.18,14.23,D,SLOTアカギ～闇に降り立った天才～は平均稼働5912、平均粗利4404、稼働貢献週0週。人気指数9.0、粗利指数31.3、寿命指数3.2。
パチスロ 緋弾のアリアⅡ,S,2023-02-15,17,7001.294117647059,17545,3563,27785.529411764706,63631,4204.35294117647,8994,2023-06-14,3683,15158,2200,3,3627.75,4945.833333333333,S_e774276543,パチスロ 緋弾のアリアⅡ,JFJ,,,パチスロ,False,False,10.55,6.16,38.74,1.33,26.05,9.16,31.34,2.59,14.17,D,パチスロ 緋弾のアリアⅡは平均稼働7001、平均粗利4204、稼働貢献週3週。人気指数9.2、粗利指数31.3、寿命指数2.6。
L 仮面ライダー電王,S,2025-03-26,5,7342.2,13067,1587,28105.4,48614,4122.2,7340,2025-09-10,1587,6453,612,1,5911.0,7342.2,S_fb5361c802,L 仮面ライダー電王,京楽産業．,,,スマスロ,True,False,11.37,1.1,38.39,0.44,26.23,8.1,31.3,4.3,14.11,D,L 仮面ライダー電王は平均稼働7342、平均粗利4122、稼働貢献週1週。人気指数8.1、粗利指数31.3、寿命指数4.3。
パチスロアラジンAクラシック,S,2022-02-02,41,7086.341463414634,16156,2401,24359.414634146342,49336,4196.365853658536,7005,2025-09-10,2401,9168,1135,7,3205.0,3921.0833333333335,S_06fc35a8a4,パチスロアラジンAクラシック,サミー,,,パチスロ,False,False,10.76,3.06,38.7,3.1,26.13,8.84,31.37,2.88,14.11,D,パチスロアラジンAクラシックは平均稼働7086、平均粗利4196、稼働貢献週7週。人気指数8.8、粗利指数31.4、寿命指数2.9。
戦国乙女2～深淵に輝く気高き将星～,S,2020-12-23,12,6208.25,8133,5347,17411.583333333332,22270,3813.0,4997,2022-02-02,6493,18153,4596,0,6468.75,6208.25,S_9d4d998aae,戦国乙女2～深淵に輝く気高き将星～,オリンピア,戦国乙女,,スロット,False,False,8.66,12.95,37.08,0.0,24.29,9.56,29.62,3.56,14.08,D,戦国乙女2～深淵に輝く気高き将星～は平均稼働6208、平均粗利3813、稼働貢献週0週。人気指数9.6、粗利指数29.6、寿命指数3.6。
沖ドキ!DUO-30,S,2021-12-29,91,7242.307692307692,12725,2119,25976.516483516483,41939,3373.2417582417584,6611,2025-09-10,2119,9249,1973,14,3464.5,3980.5833333333335,S_2841eaa020,沖ドキ!DUO-30,アクロス,沖ドキ,,沖スロ,False,False,11.13,2.38,35.21,6.19,24.37,9.28,28.89,4.87,14.06,D,沖ドキ!DUO-30は平均稼働7242、平均粗利3373、稼働貢献週14週。人気指数9.3、粗利指数28.9、寿命指数4.9。
パチスロ リング 終焉ノ刻,S,2021-04-07,24,6328.125,8643,4745,15990.75,21097,3294.7916666666665,4681,2022-02-02,7283,18530,3563,0,7909.25,6673.666666666667,S_f8a85fc7b2,パチスロ リング 終焉ノ刻,藤商事,,,パチスロ,False,False,8.95,14.86,34.88,0.0,23.21,10.06,28.07,4.35,14.04,D,パチスロ リング 終焉ノ刻は平均稼働6328、平均粗利3295、稼働貢献週0週。人気指数10.1、粗利指数28.1、寿命指数4.3。
パチスロ 真俺の空,S,2022-12-28,12,6987.75,15372,3784,22491.583333333332,48755,3711.1666666666665,7114,2023-03-15,3784,12404,2052,3,4189.5,6987.75,S_4464801327,パチスロ 真俺の空,スパイキー,,,パチスロ,False,False,10.52,6.41,36.65,1.33,24.89,9.09,29.79,4.0,14.03,D,パチスロ 真俺の空は平均稼働6988、平均粗利3711、稼働貢献週3週。人気指数9.1、粗利指数29.8、寿命指数4.0。
