machine_id,machine_name,first_seen_date,last_seen_date,data_count,best_cert_machine_name,certification_date,similarity,judge,final_machine_name,memo
224,CR花の慶次X～雲のかなたに～ H2-K,2020-02-05,2020-02-26,2,CR花の慶次X～雲のかなたに～ H2-K,,1.0,ほぼ一致,,
130,CR餃子の王将3 メガ盛7000,2019-10-09,2019-12-18,2,CR餃子の王将3 メガ盛7000,,1.0,ほぼ一致,,
24,CR餃子の王将3 大盛5000,2019-09-04,2020-03-04,2,CR餃子の王将3 大盛5000,,1.0,ほぼ一致,,
129,CR黄門ちゃま 超寿 日本漫遊2700km 199ver.,2019-10-02,2021-01-20,50,CR黄門ちゃま 超寿 日本漫遊2700km 199ver.,,1.0,ほぼ一致,,
25,CR黄門ちゃま 超寿 日本漫遊2700km 299ver.,2019-09-04,2021-01-13,65,CR黄門ちゃま 超寿 日本漫遊2700km 299ver.,,1.0,ほぼ一致,,
26,CR黄門ちゃま～神盛JUDGEMENT～ 99.9ver.,2019-09-04,2021-12-15,97,CR黄門ちゃま～神盛JUDGEMENT～ 99.9ver.,,1.0,ほぼ一致,,
102,CR黄門ちゃま～神盛JUDGEMENT～ L9BZ6,2019-09-11,2021-01-20,59,CR黄門ちゃま～神盛JUDGEMENT～ L9BZ6,,1.0,ほぼ一致,,
654,Cの衝撃!!P弾球黙示録カイジ5 電撃チャージ和也Ver.,2022-03-16,2022-05-11,8,Cの衝撃!!P弾球黙示録カイジ5 電撃チャージ和也Ver.,,1.0,ほぼ一致,,
282,GⅠ優駿倶楽部,2020-04-30,2022-02-09,4,GⅠ優駿倶楽部,,1.0,ほぼ一致,,
523,GⅠ優駿倶楽部3,2021-08-11,2023-06-07,52,GⅠ優駿倶楽部3,,1.0,ほぼ一致,,
552,HIT128,2021-09-29,2021-10-06,2,HIT128,,1.0,ほぼ一致,,
1126,L A-SLOT+ この素晴らしい世界に祝福を!,2024-09-11,2025-09-10,14,L A-SLOT+ この素晴らしい世界に祝福を!,,1.0,ほぼ一致,,
1211,L A-SLOT+ ディスクアップ ULTRAREMIX,2025-01-29,2026-06-24,47,L A-SLOT+ ディスクアップ ULTRAREMIX,,1.0,ほぼ一致,,
1112,L D4DJ Pachi-Slot Mix,2024-08-21,2024-09-18,5,L D4DJ Pachi-Slot Mix,,1.0,ほぼ一致,,
1013,L GⅠ優駿倶楽部黄金,2024-02-14,2025-09-10,32,L GⅠ優駿倶楽部黄金,,1.0,ほぼ一致,,
799,L HEY!エリートサラリーマン鏡,2022-12-14,2025-09-10,31,L HEY!エリートサラリーマン鏡,,1.0,ほぼ一致,,
1238,L Sister Quest(2025年),2025-03-12,2025-09-10,11,L Sister Quest(2025年),,1.0,ほぼ一致,,
1014,L Sky Love,2024-02-14,2024-03-06,4,L Sky Love,,1.0,ほぼ一致,,
1081,L ToLOVEるダークネス,2024-06-12,2025-09-10,59,L ToLOVEるダークネス,,1.0,ほぼ一致,,
1286,L ToLOVEるダークネス TRANCE ver.8.7,2025-05-28,2026-06-24,52,L ToLOVEるダークネス TRANCE ver.8.7,,1.0,ほぼ一致,,
1289,L ULTRAMAN,2025-06-11,2025-09-10,2,L ULTRAMAN,,1.0,ほぼ一致,,
1212,L にゃんこ大戦争 超神速,2025-01-29,2025-09-10,8,L にゃんこ大戦争 超神速,,1.0,ほぼ一致,,
966,L ひぐらしのなく頃に 業,2023-11-22,2025-09-10,9,L ひぐらしのなく頃に 業,,1.0,ほぼ一致,,
1096,L アカメが斬る!2,2024-07-17,2024-08-06,4,L アカメが斬る!2,,1.0,ほぼ一致,,
1325,L アズールレーン THE ANIMATION,2025-08-13,2026-06-10,42,L アズールレーン THE ANIMATION,,1.0,ほぼ一致,,
1071,L ウルトラマンティガ,2024-05-15,2024-07-10,9,L ウルトラマンティガ,,1.0,ほぼ一致,,
952,L エヴァンゲリオン ～未来への創造～,2023-10-11,2023-10-25,3,L エヴァンゲリオン ～未来への創造～,,1.0,ほぼ一致,,
1199,L サラリーマン金太郎(2025年),2025-01-15,2025-09-10,12,L サラリーマン金太郎(2025年),,1.0,ほぼ一致,,
1290,L スマスロ デビル メイ クライ 5 スタイリッシュトライブ,2025-06-11,2025-10-29,19,L スマスロ デビル メイ クライ 5 スタイリッシュトライブ,,1.0,ほぼ一致,,
1239,L スマスロ バイオハザード5(2025年),2025-03-12,2025-09-17,27,L スマスロ バイオハザード5(2025年),,1.0,ほぼ一致,,
