machine_name,category,first_report_date,data_count,avg_operation,max_operation,min_operation,avg_sales,max_sales,avg_gross_profit,max_gross_profit,latest_report_date,latest_operation,latest_sales,latest_gross_profit,operation_contribution_weeks,avg_operation_4w,avg_operation_12w,machine_id,formal_machine_name,maker_name,series_name,sub_series_name,machine_type,is_smart,is_lt,operation_score,latest_operation_score,profit_score_base,lifecycle_score_base,profit_tolerance_score,popularity_score,profit_score,lifecycle_score,overall_score,overall_grade,ai_comment
P乗物娘 WITH CYBERJAPAN(R) DANCERS M5-K1,P,2020-11-25,15,14616.0,28330,10280,21899.866666666665,41295,4770.666666666667,8022,2021-03-10,10280,15435,3287,15,10582.5,12429.166666666666,P_cc097a47a1,P乗物娘 WITH CYBERJAPAN(R) DANCERS M5-K1,ニューギン,,,甘デジ/ライト,False,False,28.73,22.1,41.14,6.64,35.56,23.34,37.88,12.73,25.05,D,P乗物娘 WITH CYBERJAPAN(R) DANCERS M5-K1は平均稼働14616、平均粗利4771、稼働貢献週15週。人気指数23.3、粗利指数37.9、寿命指数12.7。
e スマパチ SSSS.GRIDMAN XVSM,P,2024-11-13,5,14492.0,20950,7900,34042.2,47586,6108.8,8014,2024-12-11,7900,19071,3534,4,12877.5,14492.0,P_b9ba349548,e スマパチ SSSS.GRIDMAN XVSM,七匠,,,スマパチ,True,False,28.43,16.35,46.81,1.77,38.54,21.09,41.99,11.86,25.05,D,e スマパチ SSSS.GRIDMAN XVSMは平均稼働14492、平均粗利6109、稼働貢献週4週。人気指数21.1、粗利指数42.0、寿命指数11.9。
PA緋弾のアリアⅢ FW設定付,P,2021-01-20,7,13828.57142857143,21520,9560,20735.714285714286,32044,6054.142857142857,10319,2021-03-03,10080,15213,4516,6,10770.0,13828.57142857143,P_e59aee68d0,PA緋弾のアリアⅢ FW設定付,藤商事,,,甘デジ/ライト,False,False,26.85,21.62,46.58,2.65,37.7,21.79,41.4,11.24,25.04,D,PA緋弾のアリアⅢ FW設定付は平均稼働13829、平均粗利6054、稼働貢献週6週。人気指数21.8、粗利指数41.4、寿命指数11.2。
P一球魂GOLDピラミッ伝 V1E,P,2022-04-27,9,15097.777777777777,26310,9500,29562.444444444445,50461,4900.555555555556,9985,2022-07-20,9500,19058,3258,8,11122.5,15097.777777777777,P_482801e9f2,P一球魂GOLDピラミッ伝 V1E,高尾,,,パチンコ,False,False,29.88,20.22,41.69,3.54,36.38,22.85,38.59,12.65,25.02,D,P一球魂GOLDピラミッ伝 V1Eは平均稼働15098、平均粗利4901、稼働貢献週8週。人気指数22.9、粗利指数38.6、寿命指数12.7。
Pフィーバー彼女、お借りします LT-Light ver.,P,2026-01-14,8,14070.0,23250,9900,28439.0,46567,5648.5,10217,2026-03-04,10430,21178,4111,7,10517.5,14070.0,P_55a343bd0a,Pフィーバー彼女、お借りします LT-Light ver.,SANKYO,,,LT,False,True,27.43,22.46,44.86,3.1,37.02,22.28,40.29,11.56,25.0,D,Pフィーバー彼女、お借りします LT-Light ver.は平均稼働14070、平均粗利5648、稼働貢献週7週。人気指数22.3、粗利指数40.3、寿命指数11.6。
P Re:ゼロから始める異世界生活 鬼がかり 99ver.,P,2025-11-12,12,13577.5,26840,8270,26531.5,51427,6652.916666666667,14218,2026-02-04,8270,16306,3900,8,8895.0,13577.5,P_444cf89211,P Re:ゼロから始める異世界生活 鬼がかり 99ver.,大都技研,リゼロ,鬼がかり,甘デジ/ライト,False,False,26.25,17.24,49.12,3.54,38.83,20.71,43.12,10.95,24.99,D,P Re:ゼロから始める異世界生活 鬼がかり 99ver.は平均稼働13578、平均粗利6653、稼働貢献週8週。人気指数20.7、粗利指数43.1、寿命指数10.9。
Pリング 呪いの7日間3 ラッキートリガーVer.,P,2024-08-28,17,14225.882352941177,33000,7900,30247.529411764706,67441,5326.882352941177,10073,2025-01-08,11100,23702,4849,13,9082.5,10757.5,P_0f0190eef0,Pリング 呪いの7日間3 ラッキートリガーVer.,JFJ,,,LT,False,True,27.8,24.08,43.5,5.75,36.44,23.32,39.38,10.66,24.97,D,Pリング 呪いの7日間3 ラッキートリガーVer.は平均稼働14226、平均粗利5327、稼働貢献週13週。人気指数23.3、粗利指数39.4、寿命指数10.7。
e 乃木坂46 Ⅱ SWEET Version,P,2026-03-25,7,13770.0,25240,8710,25229.85714285714,43552,6600.0,10361,2026-05-06,9060,17017,4103,4,9632.5,13770.0,P_977892bb56,e 乃木坂46 Ⅱ SWEET Version,京楽産業．,,,スマパチ,True,False,26.71,19.15,48.9,1.77,38.91,21.05,43.07,10.26,24.96,D,e 乃木坂46 Ⅱ SWEET Versionは平均稼働13770、平均粗利6600、稼働貢献週4週。人気指数21.1、粗利指数43.1、寿命指数10.3。
Pおばけらんど 怪 199Ver.,P,2019-09-04,3,14453.333333333334,18820,10850,22144.666666666668,28832,5226.333333333333,6849,2019-09-18,10850,16799,4320,3,14453.333333333334,14453.333333333334,P_05015ad58a,Pおばけらんど 怪 199Ver.,西陣,,,甘デジ/ライト,False,False,28.34,23.48,43.07,1.33,36.44,22.53,39.2,12.13,24.93,D,Pおばけらんど 怪 199Ver.は平均稼働14453、平均粗利5226、稼働貢献週3週。人気指数22.5、粗利指数39.2、寿命指数12.1。
e花の慶次～黄金の一撃 H4,P,2025-11-12,20,14819.0,34970,7540,34272.45,76693,5787.0,10681,2026-05-13,9290,21758,4455,11,8305.0,9485.0,P_e59c40f240,e花の慶次～黄金の一撃 H4,ニューギン,花の慶次,,スマパチ,True,False,29.21,19.71,45.45,4.87,38.14,22.86,41.19,9.09,24.92,D,e花の慶次～黄金の一撃 H4は平均稼働14819、平均粗利5787、稼働貢献週11週。人気指数22.9、粗利指数41.2、寿命指数9.1。
