machine_id,machine_name,active_status,latest_data_date,days_since_last_seen,weeks_since_last_seen,latest_out_per_unit,latest_sales_per_unit,latest_profit_per_unit,data_count
1042,P緋弾のアリア ～緋緋神降臨～ ラッキートリガーVer.,準現役,2024-09-04,658,94.0,11420.0,24142.0,3841.0,25
1045,パチスロ ガメラ2,準現役,2025-09-10,287,41.0,6002.0,15620.0,403.0,31
1047,Lスマート沖スロ ドラゴンハナハナ～閃光～,準現役,2025-09-10,287,41.0,6191.0,10933.0,1706.0,51
1048,L忍魂参 ～奥義皆伝ノ章～,準現役,2025-09-10,287,41.0,3448.0,13074.0,2093.0,19
1049,P sin 七つの大罪 強甘 2400Ver.,準現役,2024-08-28,665,95.0,8340.0,14300.0,3428.0,20
1050,P咲-Saki-全国編 テンパイ即リーver.,準現役,2024-08-06,687,98.1,8360.0,16227.0,3183.0,14
1052,Lうる星やつら(2024年),準現役,2025-09-10,287,41.0,2585.0,10023.0,1998.0,23
1053,Lスマスロ ゴールデンカムイ,準現役,2026-04-29,56,8.0,5485.0,18480.0,4582.0,18
1054,Lスマスロ ストライク・ザ・ブラッド,準現役,2025-09-10,287,41.0,3703.0,9342.0,505.0,10
1056,Pひぐらしのなく頃に 輪廻転生 FM-JT,準現役,2024-07-10,714,102.0,8840.0,19745.0,3475.0,11
1057,Pバイオハザード RE:2 LTver.,準現役,2024-10-09,623,89.0,8470.0,19245.0,2860.0,25
1060,P大工の源さん超韋駄天2 極源LighT,準現役,2024-10-09,623,89.0,8620.0,16992.0,3062.0,25
1061,ジャグラーガールズSS,現役,2026-06-24,0,0.0,8769.0,16260.0,2339.0,110
1062,L押忍!番長4,準現役,2025-09-10,287,41.0,3903.0,13633.0,1488.0,28
1063,P FAIRY TAIL これが七炎竜の力だ FSA,準現役,2024-09-04,658,94.0,10400.0,22940.0,3665.0,18
1064,PAハイスクール・フリート オールスター すい～とでハッピー!2400,準現役,2024-09-04,658,94.0,10290.0,17126.0,2973.0,18
1066,P牙狼11～冴島大河～XX MU,準現役,2025-01-08,532,76.0,11260.0,23789.0,4890.0,22
1068,e新・必殺仕置人 超斬撃199,準現役,2024-08-21,672,96.0,10790.0,24023.0,4558.0,16
1069,パチスロ ダンジョンに出会いを求めるのは間違っているだろうか2,準現役,2025-09-10,287,41.0,3679.0,7310.0,880.0,12
1070,Pこの素晴らしい世界に祝福を! 199LT「このラッキートリガーに祝福を!」,準現役,2024-07-31,693,99.0,8050.0,16267.0,3619.0,13
1071,L ウルトラマンティガ,準現役,2024-07-10,714,102.0,6411.0,25541.0,3901.0,9
1073,Lパチスロ 炎炎ノ消防隊(2024年),準現役,2025-09-10,287,41.0,5514.0,18268.0,2441.0,36
1075,Pゴブリンスレイヤー ラッキートリガーVer,準現役,2024-09-11,651,93.0,8490.0,17941.0,3362.0,17
1076,Pフィーバー炎炎ノ消防隊 Light ver.,準現役,2025-01-08,532,76.0,10440.0,21236.0,4730.0,24
1078,P七つの大罪2 神千斬りVER.,準現役,2024-07-03,721,103.0,8830.0,17798.0,3074.0,7
1080,ニューパルサーSP4 with 太鼓の達人,準現役,2025-09-10,287,41.0,4637.0,11084.0,1958.0,17
1081,L ToLOVEるダークネス,準現役,2025-09-10,287,41.0,5498.0,26670.0,1930.0,59
1083,Lスマスロ痛いのは嫌なので防御力に極振りしたいと思います。,準現役,2025-09-10,287,41.0,5696.0,17460.0,2201.0,42
1084,L聖闘士星矢 海皇覚醒 CUSTOM EDITION,現役,2026-06-03,21,3.0,6049.0,28544.0,3947.0,26
1085,P ToLOVEるダークネス H1YZ5,準現役,2024-12-04,567,81.0,8840.0,19807.0,3246.0,24
1086,Pうる星やつら～Eternal Love Song～ L2-K,準現役,2024-08-28,665,95.0,8360.0,18255.0,3595.0,11
1087,Pギルティクラウン2 プレミアムライブチケット,準現役,2024-07-10,714,102.0,10830.0,22757.0,4545.0,5
1088,Pクイーンズブレイド4 UNLIMITED V1D,準現役,2024-07-31,693,99.0,8690.0,19213.0,4050.0,8
1089,Pフィーバー三国戦騎 7500,準現役,2024-08-06,687,98.1,7280.0,17490.0,3631.0,8
1090,P頭文字D 2nd GFPG,準現役,2024-06-26,728,104.0,8220.0,18958.0,3390.0,3
1091,P魔法少女まどか☆マギカ3 LM3,準現役,2024-09-11,651,93.0,25670.0,55778.0,8824.0,13
1092,P魔王学院の不適合者 FMY,準現役,2024-08-06,687,98.1,8760.0,19614.0,3682.0,9
1093,アオハル♪操 A-LIVE,準現役,2025-09-10,287,41.0,2900.0,9390.0,1498.0,17
1094,Pラブ嬢 ～極嬢のハーレム体験～ H1YZ6,準現役,2024-11-06,595,85.0,7370.0,17587.0,3931.0,11
1095,沖ドキ!BLACK,現役,2026-06-24,0,0.0,8880.0,34276.0,4698.0,98
1096,L アカメが斬る!2,準現役,2024-08-06,687,98.1,5358.0,20378.0,3642.0,4
1097,Lスマスロ真・北斗無双(2024年),準現役,2025-09-10,287,41.0,3673.0,14701.0,958.0,11
1098,Lパチスロ 戦姫絶唱シンフォギア 正義の歌,準現役,2025-09-10,287,41.0,3397.0,12787.0,2186.0,15
1099,Pアズールレーン THE ANIMATION 異次元トリガー M4,準現役,2024-09-11,651,93.0,18130.0,39355.0,6585.0,8
1100,Pフィーバーありふれた職業で世界最強 Light ver.,準現役,2024-08-06,687,98.1,11010.0,20445.0,3506.0,4
1101,P花の慶次～傾奇一転 L-MX,準現役,2024-09-11,651,93.0,8640.0,19376.0,3865.0,8
