machine_id,machine_name,latest_data_date,first_seen_date,last_seen_date,certification_date,data_weeks,weeks_from_first_seen,latest_out_per_unit,avg_out_4w,avg_out_12w,avg_out_26w,avg_out_52w,avg_out_all,latest_sales_per_unit,avg_sales_4w,avg_sales_12w,avg_sales_all,latest_profit_per_unit,avg_profit_4w,avg_profit_12w,avg_profit_all,peak_out_per_unit,peak_out_date,peak_ratio,trend,life_stage,rank_out_4w,rank_sales_4w,rank_profit_4w,operation_score
27,OVER-SLOT AINZ OOAL GOWN絶対支配者光臨,2026-06-24,2019-09-04,2019-09-25,,4,355,9612.0,12711.5,12711.5,12711.5,12711.5,12711.5,19981.0,26327.25,26327.25,26327.25,2508.0,3213.5,3213.5,3213.5,17702.0,2019-09-04,0.5429894927126878,横ばい,下降期,353.0,361.0,950.0,71.8
28,PA巨人の星～栄光の軌跡～ Light version,2026-06-24,2019-09-04,2019-09-11,,2,355,14300.0,16785.0,16785.0,16785.0,16785.0,16785.0,14881.0,17677.5,17677.5,17677.5,3074.0,4109.0,4109.0,4109.0,19270.0,2019-09-04,0.742086144265698,横ばい,成熟期,123.0,1047.0,548.0,75.1
29,PA真・怪獣王ゴジラ N2-K6,2026-06-24,2019-09-04,2019-11-06,,9,355,10700.0,11277.5,12440.0,12440.0,12440.0,12440.0,13292.0,13879.5,15188.666666666666,15188.666666666666,4338.0,4413.75,4744.555555555556,4744.555555555556,15050.0,2019-09-04,0.7109634551495017,微減,成熟期,503.0,1348.0,439.0,61.2
30,Pあの日見た花の名前を僕達はまだ知らない。 SLJA,2026-06-24,2019-09-04,2019-09-04,,1,355,16620.0,16620.0,16620.0,16620.0,16620.0,16620.0,26188.0,26188.0,26188.0,26188.0,4618.0,4618.0,4618.0,4618.0,16620.0,2019-09-04,1.0,横ばい,成長・高稼働期,125.0,373.0,370.0,88.6
31,Pおばけらんど 怪 199Ver.,2026-06-24,2019-09-04,2019-09-18,,3,355,10850.0,14453.333333333334,14453.333333333334,14453.333333333334,14453.333333333334,14453.333333333334,16799.0,22144.666666666668,22144.666666666668,22144.666666666668,4320.0,5226.333333333333,5226.333333333333,5226.333333333333,18820.0,2019-09-04,0.5765143464399575,横ばい,下降期,222.0,642.0,250.0,76.9
32,Pおばけらんど 怪 319Ver.(威吹枠),2026-06-24,2019-09-04,2019-09-11,,2,355,14330.0,17355.0,17355.0,17355.0,17355.0,17355.0,22408.0,27120.5,27120.5,27120.5,5975.0,6649.0,6649.0,6649.0,20380.0,2019-09-04,0.7031403336604515,横ばい,成熟期,100.0,325.0,97.0,87.5
33,Pすしざんまい 極上5700,2026-06-24,2019-09-04,2019-10-23,,8,355,12800.0,13482.5,17416.25,17416.25,17416.25,17416.25,21540.0,22623.25,29183.375,29183.375,3674.0,3856.25,5018.75,5018.75,28640.0,2019-09-04,0.44692737430167595,下降,下降期,283.0,595.0,660.0,69.1
34,Pぱちんこ新・必殺仕置人 K3,2026-06-24,2019-09-04,2020-01-08,,12,355,17420.0,14705.0,16224.166666666666,16224.166666666666,16224.166666666666,16224.166666666666,30571.0,25914.25,28387.166666666668,28387.166666666668,6609.0,4654.0,4533.833333333333,4533.833333333333,23590.0,2019-09-04,0.738448495125053,微減,成熟期,208.0,387.0,360.0,82.9
35,Pキャッツ・アイ～最高のお宝、頂きに上がります～ Sweet Treasures ver.,2026-06-24,2019-09-04,2019-09-18,,3,355,12790.0,16923.333333333332,16923.333333333332,16923.333333333332,16923.333333333332,16923.333333333332,16518.0,21845.0,21845.0,21845.0,4346.0,5734.0,5734.0,5734.0,22120.0,2019-09-04,0.5782097649186256,横ばい,下降期,118.0,666.0,175.0,79.9
36,Pターミネーター2 連撃FULL AUTO VER.,2026-06-24,2019-09-04,2019-09-18,,2,355,12690.0,13910.0,13910.0,13910.0,13910.0,13910.0,15204.0,16512.0,16512.0,16512.0,3065.0,3376.5,3376.5,3376.5,15130.0,2019-09-04,0.8387309980171844,横ばい,成熟期,264.0,1158.0,892.0,69.0
37,Pドラム海物語IN沖縄 桜 SBE,2026-06-24,2019-09-04,2019-09-18,,3,355,14470.0,18116.666666666668,18116.666666666668,18116.666666666668,18116.666666666668,18116.666666666668,14636.0,18388.0,18388.0,18388.0,2367.0,2919.0,2919.0,2919.0,22490.0,2019-09-04,0.6433970653623833,横ばい,下降期,74.0,990.0,1093.0,71.8
38,Pハイスクール・フリート MA,2026-06-24,2019-09-04,2019-09-18,,3,355,13210.0,17863.333333333332,17863.333333333332,17863.333333333332,17863.333333333332,17863.333333333332,20820.0,28007.0,28007.0,28007.0,3249.0,4367.0,4367.0,4367.0,23680.0,2019-09-04,0.5578547297297297,横ばい,下降期,85.0,287.0,453.0,83.4
39,PフィーバーマクロスΔ A,2026-06-24,2019-09-04,2019-09-04,,1,355,15330.0,15330.0,15330.0,15330.0,15330.0,15330.0,22213.0,22213.0,22213.0,22213.0,4778.0,4778.0,4778.0,4778.0,15330.0,2019-09-04,1.0,横ばい,成長・高稼働期,181.0,633.0,329.0,83.9
40,PフィーバーマクロスΔ F,2026-06-24,2019-09-04,2019-09-04,,1,355,14580.0,14580.0,14580.0,14580.0,14580.0,14580.0,20750.0,20750.0,20750.0,20750.0,5253.0,5253.0,5253.0,5253.0,14580.0,2019-09-04,1.0,横ばい,成長・高稼働期,215.0,777.0,243.0,81.6
41,Pリング バースデイ 呪いの始まり FRX設定付,2026-06-24,2019-09-04,2019-10-02,,5,355,11800.0,13385.0,14622.0,14622.0,14622.0,14622.0,19619.0,22041.0,24036.6,24036.6,3669.0,3907.5,4272.6,4272.6,19570.0,2019-09-04,0.6029637199795606,微減,下降期,290.0,651.0,639.0,72.9
