machine_id,machine_name,machine_name_normalized,first_seen_date,last_seen_date,data_count,days_since_last_seen,weeks_since_last_seen,active_status
936,P新世紀エヴァンゲリオン～未来への咆哮～,P新世紀エヴァンゲリオン～未来への咆哮～,2023-09-06,2026-05-13,122,42,6.0,準現役
938,L戦国乙女4 戦乱に閃く炯眼の軍師,L戦国乙女4 戦乱に閃く炯眼の軍師,2023-09-13,2026-06-17,98,7,1.0,現役
943,パチスロ傷物語 -始マリノ刻-,パチスロ傷物語 -始マリノ刻-,2023-09-13,2025-09-10,12,287,41.0,準現役
944,ファミスタ回胴版!!,ファミスタ回胴版!!,2023-09-13,2025-09-10,41,287,41.0,準現役
945,回胴式遊技機 グランベルム,回胴式遊技機 グランベルム,2023-09-13,2025-09-10,31,287,41.0,準現役
946,L戦国コレクション5超極楽LOOP,L戦国コレクション5超極楽LOOP,2023-09-27,2025-09-10,53,287,41.0,準現役
947,L麻雀格闘倶楽部 覚醒,L麻雀格闘倶楽部 覚醒,2023-09-27,2025-09-10,67,287,41.0,準現役
953,Lスマスロ転生したらスライムだった件,Lスマスロ転生したらスライムだった件,2023-10-11,2025-09-10,15,287,41.0,準現役
966,L ひぐらしのなく頃に 業,L ひぐらしのなく頃に 業,2023-11-22,2025-09-10,9,287,41.0,準現役
967,Lスマスロとある魔術の禁書目録,Lスマスロとある魔術の禁書目録,2023-11-22,2025-09-10,28,287,41.0,準現役
974,P真・北斗無双 第4章 下剋上闘 GRPJ,P真・北斗無双 第4章 下剋上闘 GRPJ,2023-11-22,2024-07-24,34,700,100.0,準現役
976,パチスロ交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,パチスロ交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,2023-11-22,2025-12-03,64,203,29.0,準現役
979,e Re:ゼロから始める異世界生活 season2 M13,e Re:ゼロから始める異世界生活 season2 M13,2023-11-29,2026-01-07,99,168,24.0,準現役
982,LスマスロモンキーターンⅤ,LスマスロモンキーターンⅤ,2023-12-13,2026-06-24,120,0,0.0,現役
983,Lマジカルハロウィン8,Lマジカルハロウィン8,2023-12-13,2025-09-10,37,287,41.0,準現役
984,Lラブ嬢3～Wご指名はいかがですか?～,Lラブ嬢3～Wご指名はいかがですか?～,2023-12-13,2026-06-17,74,7,1.0,現役
985,L花の慶次～佐渡攻めの章～,L花の慶次～佐渡攻めの章～,2023-12-13,2024-07-24,29,700,100.0,準現役
988,P大海物語5 ブラック HCL,P大海物語5 ブラック HCL,2023-12-13,2026-06-24,116,0,0.0,現役
989,クランキークレスト,クランキークレスト,2023-12-13,2025-09-10,77,287,41.0,準現役
991,L スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,L スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,2023-12-27,2026-06-17,38,7,1.0,現役
992,Pぱちんこ シン・エヴァンゲリオン Type レイ,Pぱちんこ シン・エヴァンゲリオン Type レイ,2023-12-27,2025-05-07,67,413,59.0,準現役
